# timestamp(s) tx ty tz qx qy qz qw
4.250000000 -13.000000 13.000000 1.045550 0.000000 0.000000 0.000000 1.000000
4.255000000 -13.000000 13.000000 1.044610 0.000000 0.000000 0.000000 1.000000
4.260000000 -13.000000 13.000000 1.043683 0.000000 0.000000 0.000000 1.000000
4.265000000 -13.000000 13.000000 1.042768 0.000000 0.000000 0.000000 1.000000
4.270000000 -13.000000 13.000000 1.041866 0.000000 0.000000 0.000000 1.000000
4.275000000 -13.000000 13.000000 1.040977 0.000000 0.000000 0.000000 1.000000
4.280000000 -13.000000 13.000000 1.040100 0.000000 0.000000 0.000000 1.000000
4.285000000 -13.000000 13.000000 1.039236 0.000000 0.000000 0.000000 1.000000
4.290000000 -13.000000 13.000000 1.038384 0.000000 0.000000 0.000000 1.000000
4.295000000 -13.000000 13.000000 1.037544 0.000000 0.000000 0.000000 1.000000
4.300000000 -13.000000 13.000000 1.036716 0.000000 0.000000 0.000000 1.000000
4.305000000 -13.000000 13.000000 1.035899 0.000000 0.000000 0.000000 1.000000
4.310000000 -13.000000 13.000000 1.035095 0.000000 0.000000 0.000000 1.000000
4.315000000 -13.000000 13.000000 1.034302 0.000000 0.000000 0.000000 1.000000
4.320000000 -13.000000 13.000000 1.033521 0.000000 0.000000 0.000000 1.000000
4.325000000 -13.000000 13.000000 1.032751 0.000000 0.000000 0.000000 1.000000
4.330000000 -13.000000 13.000000 1.031992 0.000000 0.000000 0.000000 1.000000
4.335000000 -13.000000 13.000000 1.031245 0.000000 0.000000 0.000000 1.000000
4.340000000 -13.000000 13.000000 1.030509 0.000000 0.000000 0.000000 1.000000
4.345000000 -13.000000 13.000000 1.029783 0.000000 0.000000 0.000000 1.000000
4.350000000 -13.000000 13.000000 1.029069 0.000000 0.000000 0.000000 1.000000
4.355000000 -13.000000 13.000000 1.028365 0.000000 0.000000 0.000000 1.000000
4.360000000 -13.000000 13.000000 1.027672 0.000000 0.000000 0.000000 1.000000
4.365000000 -13.000000 13.000000 1.026990 0.000000 0.000000 0.000000 1.000000
4.370000000 -13.000000 13.000000 1.026317 0.000000 0.000000 0.000000 1.000000
4.375000000 -13.000000 13.000000 1.025656 0.000000 0.000000 0.000000 1.000000
4.380000000 -13.000000 13.000000 1.025004 0.000000 0.000000 0.000000 1.000000
4.385000000 -13.000000 13.000000 1.024362 0.000000 0.000000 0.000000 1.000000
4.390000000 -13.000000 13.000000 1.023731 0.000000 0.000000 0.000000 1.000000
4.395000000 -13.000000 13.000000 1.023109 0.000000 0.000000 0.000000 1.000000
4.400000000 -13.000000 13.000000 1.022497 0.000000 0.000000 0.000000 1.000000
4.405000000 -13.000000 13.000000 1.021895 0.000000 0.000000 0.000000 1.000000
4.410000000 -13.000000 13.000000 1.021302 0.000000 0.000000 0.000000 1.000000
4.415000000 -13.000000 13.000000 1.020719 0.000000 0.000000 0.000000 1.000000
4.420000000 -13.000000 13.000000 1.020145 0.000000 0.000000 0.000000 1.000000
4.425000000 -13.000000 13.000000 1.019580 0.000000 0.000000 0.000000 1.000000
4.430000000 -13.000000 13.000000 1.019024 0.000000 0.000000 0.000000 1.000000
4.435000000 -13.000000 13.000000 1.018478 0.000000 0.000000 0.000000 1.000000
4.440000000 -13.000000 13.000000 1.017940 0.000000 0.000000 0.000000 1.000000
4.445000000 -13.000000 13.000000 1.017411 0.000000 0.000000 0.000000 1.000000
4.450000000 -13.000000 13.000000 1.016891 0.000000 0.000000 0.000000 1.000000
4.455000000 -13.000000 13.000000 1.016380 0.000000 0.000000 0.000000 1.000000
4.460000000 -13.000000 13.000000 1.015877 0.000000 0.000000 0.000000 1.000000
